station,hour,avg_dropoff_count
"Albert Embankment, Vauxhall_OLD",16,1.4583333333333333
"Albert Embankment, Vauxhall_OLD",17,2.155844155844156
"Albert Embankment, Vauxhall_OLD",18,2.2151898734177213
"Albert Embankment, Vauxhall_OLD",19,2.0555555555555554
"Albert Embankment, Vauxhall_OLD",20,1.5833333333333333
"Albert Embankment, Vauxhall_OLD",21,1.2045454545454546
"Albert Embankment, Vauxhall_OLD",22,1.3125
"Albert Embankment, Vauxhall_OLD",23,1.24
"Albert Gardens, Stepney",0,1.6987951807228916
"Albert Gardens, Stepney",1,1.4476190476190476
"Albert Gardens, Stepney",2,1.4464285714285714
"Albert Gardens, Stepney",3,1.173913043478261
"Albert Gardens, Stepney",4,1.0869565217391304
"Albert Gardens, Stepney",5,1.1578947368421053
"Albert Gardens, Stepney",6,1.1176470588235294
"Albert Gardens, Stepney",7,1.2083333333333333
"Albert Gardens, Stepney",8,1.3
"Albert Gardens, Stepney",9,1.4052287581699345
"Albert Gardens, Stepney",10,1.296875
"Albert Gardens, Stepney",11,1.3650793650793651
"Albert Gardens, Stepney",12,1.504950495049505
"Albert Gardens, Stepney",13,1.5944444444444446
"Albert Gardens, Stepney",14,1.9782608695652173
"Albert Gardens, Stepney",15,1.992156862745098
"Albert Gardens, Stepney",16,2.011627906976744
"Albert Gardens, Stepney",17,3.039344262295082
"Albert Gardens, Stepney",18,3.3491525423728814
"Albert Gardens, Stepney",19,2.383211678832117
"Albert Gardens, Stepney",20,2.130434782608696
"Albert Gardens, Stepney",21,2.0617283950617282
"Albert Gardens, Stepney",22,1.7523809523809524
"Albert Gardens, Stepney",23,1.6440677966101696
"Albert Gate, Hyde Park",0,1.6666666666666667
"Albert Gate, Hyde Park",1,2.142857142857143
"Albert Gate, Hyde Park",2,1.5
"Albert Gate, Hyde Park",4,1.1666666666666667
"Albert Gate, Hyde Park",5,1.2369942196531791
"Albert Gate, Hyde Park",6,1.368663594470046
"Albert Gate, Hyde Park",7,2.479245283018868
"Albert Gate, Hyde Park",8,7.609427609427609
"Albert Gate, Hyde Park",9,5.719745222929936
"Albert Gate, Hyde Park",10,4.67109634551495
"Albert Gate, Hyde Park",11,6.584967320261438
"Albert Gate, Hyde Park",12,8.437699680511182
"Albert Gate, Hyde Park",13,8.983870967741936
"Albert Gate, Hyde Park",14,9.426332288401253
"Albert Gate, Hyde Park",15,10.037974683544304
