station,latitude,longitude
"Normand Park, West Kensington",51.4847724,-0.2067792
"Normandy Road, Stockwell",51.4736582,-0.11153
"North Audley Street, Mayfair",51.5128808,-0.153316
"North Wharf Road, Paddington",51.5188833,-0.1752016
"Northdown Street, King's Cross",51.5323287,-0.1195581
"Northfields, Wandsworth",51.4615664,-0.2006563
"Northington Street , Holborn",51.5220532,-0.1154537
"Northumberland Avenue, Strand",51.5080047,-0.126494
"Norton Folgate, Liverpool Street",51.51875159999999,-0.0814374
"Notting Hill Gate Station, Notting Hill",51.50917620000001,-0.1958562
"Nutford Place, Marylebone",51.5167955,-0.1632017
"Old Brompton Road, South Kensington",51.4923036,-0.1778144
"Old Ford Road, Bethnal Green",51.5307966,-0.0501321
"Old Montague Street, Whitechapel",51.5182648,-0.0669459
"Old Quebec Street, Marylebone",51.5143043,-0.1580733
"Old Street Station, St. Luke's",51.5256641,-0.08753
"Ontario Street, Elephant & Castle",51.4967404,-0.1011477
"Orbel Street, Battersea",51.4742739,-0.1712685
"Ormonde Gate, Chelsea",51.4866239,-0.1609979
"Orsett Terrace, Bayswater",51.5177407,-0.1842836
"Osiers Road, Wandsworth",51.4615717,-0.1981451
"Ossulston Street, Somers Town",51.530075,-0.1289674
"Oxford Road, Putney",51.4616374,-0.2120607
"Paddington Green, Paddington",51.5209589,-0.1741033
"Paddington Street, Marylebone",51.5206754,-0.1539278
"Page Street, Westminster",51.4939435,-0.1290117
"Palace Gardens Terrace, Notting Hill",51.5074652,-0.1931794
"Palace Gate, Kensington Gardens",51.500631,-0.1840107
"Palissy Street, Shoreditch",51.5263689,-0.0738132
"Pall Mall East, West End",51.5079634,-0.1303328
"Pancras Road, King's Cross",51.5323623,-0.1258058
"Panton Street, West End",51.5096832,-0.1313114
"Park Lane , Hyde Park",51.5073638,-0.1641135
"Park Lane, Mayfair",51.5079713,-0.1537587
"Park Road (Baker Street), The Regent's Park",51.524517,-0.158963
"Park Street, Bankside",51.506044,-0.097814
"Parkway, Camden Town",51.5378266,-0.1448843
"Parson's Green , Parson's Green",51.4747689,-0.2002723
"Parsons Green Station, Parsons Green",51.475048,-0.201252
"Pembridge Villas, Notting Hill",51.513166,-0.197276
"Penfold Street, Marylebone",51.5228591,-0.1713697
"Pennington Street, Wapping",51.5087919,-0.0608332
"Penywern Road, Earl's Court",51.4908138,-0.1937261
"Percival Street, Finsbury",51.5265232,-0.1000377
"Percy Street, Bloomsbury",51.5187699,-0.1324305
"Peterborough Road, Sands End",51.4689242,-0.1961007
"Phene Street, Chelsea",51.4850096,-0.1677489
"Phillimore Gardens, Kensington",51.5009209,-0.1988435
"Philpot Street, Whitechapel",51.5153341,-0.0586772
"Pindar Street, Liverpool Street",51.51875159999999,-0.0814374
"Pitfield Street Central, Hoxton",51.5298778,-0.083187
"Pitfield Street North,Hoxton",51.5312598,-0.0828996
"Plough Terrace, Clapham Junction",51.4615886,-0.1751352
"Podium, Queen Elizabeth Olympic Park",51.5439614,-0.0152116
"Pont Street, Knightsbridge",51.496879,-0.1630664
"Porchester Place, Paddington",51.5150933,-0.1655573
"Portland Place, Marylebone",51.5203041,-0.1449299
"Portman Square, Marylebone",51.5161516,-0.1560115
"Portugal Street, Holborn",51.5147925,-0.1164864
"Pott Street, Bethnal Green",51.526516,-0.0573922
"Poured Lines, Bankside",51.5081352,-0.095185
"Preston's Road, Cubitt Town",51.508248,-0.0084939
"Prince Albert Road, The Regent's Park",51.533313,-0.1557646
"Prince Consort Road, Knightsbridge",51.4998642,-0.1771631
"Prince of Wales Drive, Battersea Park",51.4791075,-0.1564981
"Princedale Road , Holland Park",51.5082136,-0.209734
"Princes Square, Bayswater",51.5128605,-0.1909709
"Pritchard's Road, Bethnal Green",51.533687,-0.0624273
"Pritchard's Road, Bethnal Green_OLD",51.533687,-0.0624273
"Putney Bridge Road, East Putney",51.4592501,-0.2106044
"Putney Bridge Station, Fulham",51.4678669,-0.2097248
"Putney Pier, Wandsworth",51.467082,-0.215499
"Putney Rail Station, Putney",51.461228,-0.2167018
"Queen Mary's, Mile End",51.5164886,-0.0621287
"Queen Mother Sports Centre, Victoria",51.493354,-0.1405451
"Queen Street 1, Bank",51.6065931,-0.0755092
"Queen Street 2, Bank",51.5134711,-0.09237429999999999
"Queen Victoria Street, St. Paul's",51.5119287,-0.0967396
"Queen's Circus, Battersea Park",51.4778967,-0.14893
"Queen's Gate (Central), South Kensington",51.4968664,-0.1792344
"Queen's Gate (North), Kensington",51.4968664,-0.1792344
"Queen's Gate (South), South Kensington",51.4968664,-0.1792344
"Queen's Gate, Kensington Gardens",51.4968664,-0.1792344
"Queensbridge Road, Haggerston",51.5371578,-0.0702904
"Queensdale Road, Shepherd's Bush",51.5070756,-0.212503
"Queensway, Kensington Gardens",51.506987,-0.179165
"Rainville Road, Hammersmith",51.4833262,-0.2236403
"Ram Street, Wandsworth",51.4577527,-0.1921524
"Rampayne Street, Pimlico",51.4896409,-0.1334851
"Ranelagh Gardens, Fulham",51.4676459,-0.2078974
"Rathbone Street, Fitzrovia",51.5183328,-0.1353104
"Ravenscourt Park Station, Hammersmith",51.494832,-0.2358317
"Reardon Street, Wapping",51.5062152,-0.0598089
"Rectory Square, Stepney",51.5188316,-0.0441711
"Red Lion Square, Holborn",51.5192244,-0.1170404
"Red Lion Street, Holborn",51.5192244,-0.1170404
"Regency Street, Westminster",51.4923936,-0.1322596
"Regent's Row , Haggerston",51.5357688,-0.0660831
"Richmond Way, Shepherd's Bush",51.504296,-0.2179309
"Rifle Place, Avondale",51.5090245,-0.2166694
"Risinghill Street, Angel",51.5332453,-0.1121171
"River Street , Clerkenwell",51.5292101,-0.1096743
"Riverlight North, Nine Elms",51.482095,-0.1380243
"Riverlight South, Nine Elms",51.482095,-0.1380243
"Rochester Row, Westminster",51.4944548,-0.1365899
"Rodney Road , Walworth",51.4916822,-0.0912151
"Roscoe Street, St. Luke's",51.5233716,-0.0936113
"Rotherhithe Roundabout, Rotherhithe",51.49916899999999,-0.055846
"Royal Avenue 1, Chelsea",51.4902057,-0.1619582
"Royal Avenue 2, Chelsea",51.48976099999999,-0.1626505
"Royal College Street, Camden Town",51.5405499,-0.1372786
"Royal London Hospital, Whitechapel",51.5183701,-0.0589782
"Russell Gardens, Olympia",51.5000894,-0.2114118
"Russell Square Station, Bloomsbury",51.5230788,-0.1242635
"Sackville Street, Mayfair",51.5095335,-0.1382817
"Sadlers Sports Centre, Finsbury",51.5205171,-0.0873378
"Sail Street, Vauxhall",51.4949634,-0.1158902
"Salmon Lane, Limehouse",51.5141035,-0.0353434
"Saltoun Road, Brixton",51.4605891,-0.1132353
"Sancroft Street, Vauxhall",51.4893471,-0.1145934
"Sandilands Road, Walham Green",51.4736679,-0.1914566
"Santos Road, Wandsworth",51.4578067,-0.2009283
"Sardinia Street, Holborn",51.515054,-0.118249
"Saunders Ness Road, Cubitt Town",51.4893889,-0.0053585
"Scala Street, Fitzrovia",51.5199958,-0.1357449
"Sea Containers, South Bank",51.5081424,-0.1066685
"Sedding Street, Sloane Square",51.4928949,-0.1567353
"Selby Street, Whitechapel",51.5219479,-0.0631065
"Serpentine Car Park, Hyde Park",51.505014,-0.17306
"Seville Street, Knightsbridge",51.5017112,-0.1592219
"Seymour Place, Marylebone",51.5177873,-0.1623949
"Shadwell Station, Shadwell",51.5112348,-0.05691599999999999
"Sheepcote Lane, Battersea",51.4704027,-0.161263
"Shepherd's Bush Road North, Shepherd's Bush",51.5031868,-0.2232298
"Shoreditch Court, Haggerston",51.5392276,-0.070603
"Shoreditch High Street, Shoreditch",51.5242767,-0.0772813
"Shoreditch Park, Hoxton",51.5345749,-0.0860529
"Shouldham Street, Marylebone",51.518287,-0.163918
"Sidney Road, Stockwell",51.4696477,-0.1183738
"Silverthorne Road, Battersea",51.473171,-0.1482769
"Simpson Street, Clapham Junction",51.4710407,-0.1722731
"Sirdar Road, Avondale",51.5938282,-0.0959862
"Sloane Avenue, Knightsbridge",51.4922982,-0.1657063
"Smith Square, Westminster",51.4956967,-0.1269889
"Smugglers Way, Wandsworth",51.4620345,-0.1906573
"Snow Hill, Farringdon",51.5173224,-0.1036754
"Snowsfields, London Bridge",51.5022596,-0.0854181
"Soho Square , Soho",51.5153121,-0.1321359
"Somerset House, Strand",51.511059,-0.117148
"Sopwith Way, Battersea Park",51.4791075,-0.1564981
"South Audley Street, Mayfair",51.5086025,-0.1513368
"South Bermondsey Station, Bermondsey",51.488062,-0.05584169999999999
"South Kensington Station, South Kensington",51.49415579999999,-0.1739576
"South Lambeth Road, Vauxhall",51.4844268,-0.1228855
"South Parade, Chelsea",51.4893786,-0.1743035
"South Park, Sands End",51.4690816,-0.1944951
"South Quay East, Canary Wharf",51.5005076,-0.0159514
"South Wharf Road, Paddington",51.5177665,-0.1737797
"Southampton Place, Holborn",51.5180822,-0.1218789
"Southampton Street, Strand",51.5110971,-0.1221871
"Southern Grove, Bow",51.5257323,-0.0318281
"Southerton Road, Hammersmith",51.495534,-0.2283942
"Southwark Station 1, Southwark",51.503926,-0.1049685
"Southwark Station 2, Southwark",51.503926,-0.1049685
"Southwark Street, Bankside",51.506044,-0.097814
"Southwick Street, Paddington",51.5171315,-0.1709889
"Spanish Road, Clapham Junction",51.4587373,-0.1806783
"Spencer Park, Wandsworth Common",51.4574082,-0.176277
"Spindrift Avenue, Millwall",51.4910173,-0.017986
"St John's Crescent, Brixton",51.4661636,-0.1119574
"St Martins Close, Camden Town",51.5386136,-0.1385225
"St Mary's Hospital, Paddington",51.5175558,-0.1742676
"St. Bride Street, Holborn",51.5151882,-0.1055483
"St. Chad's Street, King's Cross",51.5295105,-0.1223544
"St. George Street, Mayfair",51.5126253,-0.1431556
"St. George's Square, Pimlico",51.4874976,-0.135216
"St. James's Square, St. James's",51.5066932,-0.1350047
"St. John Street, Finsbury",51.5258952,-0.1041404
"St. John's Park, Cubitt Town",51.4756555,0.0177343
"St. John's Road, Clapham Junction",51.461948,-0.1673474
"St. John's Wood Church, The Regent's Park",51.533313,-0.1557646
"St. John's Wood Road, St. John's Wood",51.5280754,-0.1732484
"St. Katharine's Way, Tower",51.50811239999999,-0.0759493
"St. Luke's Church, Chelsea",51.48954519999999,-0.1695538
"St. Mark's Road, North Kensington",51.516639,-0.2135903
"St. Martin's Street, West End",51.5093792,-0.1299141
"St. Mary & St. Michael Church, Stepney",51.514097,-0.0523125
"St. Mary Axe, Aldgate",51.5147423,-0.0808108
"St. Peter's Terrace, Fulham",51.4789983,-0.2081479
"Stainsby Road , Poplar",51.5144552,-0.0241158
"Stamford Street, South Bank",51.5068107,-0.1084918
"Stanhope Gate, Mayfair",51.5065847,-0.1517066
"Stanley Grove, Battersea",51.4692346,-0.151527
"Star Road, West Kensington",51.4871556,-0.2061795
"Stebondale Street, Cubitt Town",51.4893888,-0.0089302
"Stephendale Road, Sands End",51.4710957,-0.1870653
"Stepney Green Station, Stepney",51.5219664,-0.0466614
"Stewart's Road, Wandsworth Road",51.4720887,-0.1354067
"Store Street, Bloomsbury",51.519794,-0.1316834
"Storey's Gate, Westminster",51.5004147,-0.1296339
"Strand, Strand",51.5110832,-0.1197104
"Strata, Elephant & Castle",51.4930884,-0.0994221
"Stratford Station, Stratford",51.5410301,-0.0022406
"Sugden Road, Clapham",51.4633089,-0.1573377
"Sumner Place, South Kensington",51.4922859,-0.174839
"Sun Street, Liverpool Street",51.517613,-0.0829697
"Surrey Lane, Battersea",51.4749166,-0.1688276
"Sutton Street, Shadwell",51.5126455,-0.0535627
"Swan Street, The Borough",51.4993896,-0.0943753
"Tachbrook Street, Victoria",51.4915329,-0.1379563
"Tallis Street, Temple",51.5118891,-0.1079872
"Tanner Street, Bermondsey",51.4997968,-0.0775475
"Tate Modern, Bankside",51.5081352,-0.095185
"Tavistock Place, Bloomsbury",51.5252152,-0.126684
"Tavistock Street, Covent Garden",51.5121019,-0.1205188
"Taviton Street, Bloomsbury",51.5253707,-0.1313773
"Temple Gardens, Temple",51.5116604,-0.1108427
"Teversham Lane, Stockwell",51.4760352,-0.1236261
"Teviot Street, Poplar",51.519088,-0.0105645
"The Blue, Bermondsey",51.4923876,-0.0636361
"The Guildhall, Guildhall",51.4077193,-0.3059507
"The Metropolitan, Portobello",51.5206476,-0.2006708
"The Tennis Courts, The Regent's Park",51.533313,-0.1557646
"The Vale, Chelsea",51.485655,-0.1755768
"Theobald's Road , Holborn",51.5204653,-0.1174243
"Thorndike Close, West Chelsea",51.4804997,-0.184274
"Thurtle Road, Haggerston",51.5339611,-0.0716424
"Timber Lodge, Queen Elizabeth Olympic Park",51.54744909999999,-0.0148273
"Tooley Street, Bermondsey",51.5005387,-0.0742003
"Torrens Street, Angel",51.5321993,-0.1053802
"Tower Gardens , Tower",51.5984188,-0.0856642
"Tower Wharf, Bermondsey",51.5072145,-0.07628449999999999
"Trebovir Road, Earl's Court",51.4913935,-0.1954254
"Triangle Car Park, Hyde Park",51.5064511,-0.170279
"Turquoise Island, Notting Hill",51.514311,-0.200838
"Twig Folly Bridge, Mile End",51.530326,-0.042744
"Tyers Gate, Bermondsey",51.5009556,-0.0828483
"Tysoe Street, Clerkenwell",51.5265942,-0.1088579
"Union Grove, Wandsworth Road",51.473624,-0.1333053
"Union Street, The Borough",51.5038098,-0.098083
"Upcerne Road, West Chelsea",51.4788346,-0.1829076
"Upper Bank Street, Canary Wharf",51.5050892,-0.0169358
"Upper Grosvenor Street, Mayfair",51.5103532,-0.1543788
"Upper Richmond Road, Putney",51.4607544,-0.2170916
"Usk Road, Clapham Junction",51.4636315,-0.1822031
"Vauxhall Bridge , Pimlico",51.4901308,-0.1326939
"Vauxhall Cross, Vauxhall",51.4872679,-0.1243762
"Vauxhall Street, Vauxhall",51.487733,-0.1168928
"Vauxhall Walk, Vauxhall",51.4898543,-0.1201578
"Vereker Road, West Kensington",51.4885108,-0.2086786
"Vicarage Crescent, Battersea",51.4744914,-0.1762
"Vicarage Gate, Kensington",51.5047673,-0.191897
"Victoria & Albert Museum, South Kensington",51.4957498,-0.1723805
"Victoria Park Road, Hackney Central",51.538339,-0.0437697
"Victoria Rise, Clapham Common",51.4639405,-0.1481504
"Victory Place, Walworth",51.4927027,-0.0922852
"Vincent Square, Westminster",51.4937778,-0.1364328
"Vincent Street, Pimlico",51.4929642,-0.1314336
"Walmer Road, Avondale",51.5102844,-0.2124332
"Walnut Tree Walk, Vauxhall",51.4940252,-0.1124705
"Walworth Square, Walworth",51.4913274,-0.0967526
"Wandsworth Rd, Isley Court, Wandsworth Road",51.5207156,-0.0108629
"Wandsworth Town Station, Wandsworth",51.4607615,-0.1879575
"Wapping High Street, Wapping",51.5033284,-0.0609071
"Wapping Lane, Wapping",51.5070887,-0.0585794
"Wardour Street, Soho",51.5139837,-0.134342
"Warren Street Station, Euston",51.5246192,-0.1381671
"Warwick Avenue Station, Maida Vale",51.52325459999999,-0.1838447
"Warwick Road, Olympia",51.4963566,-0.2107637
"Warwick Row, Westminster",51.4982807,-0.1429284
"Warwick Square, Pimlico",51.4905209,-0.1409516
"Waterloo Bridge, South Bank",51.5085965,-0.1168523
"Waterloo Place, St. James's",51.5072087,-0.1323696
"Waterloo Road, South Bank",51.502342,-0.1100995
"Waterloo Station 1, Waterloo",51.5032466,-0.112293
"Waterloo Station 2, Waterloo",51.5032466,-0.112293
"Waterloo Station 3, Waterloo",51.5032466,-0.112293
"Watney Market, Stepney",51.513918,-0.05680080000000001
"Watney Street, Shadwell",51.5120477,-0.0566355
"Webber Street , Southwark",51.5008081,-0.1032139
"Wellington Arch, Hyde Park",51.5025925,-0.1508545
"Wellington Road, St. John's Wood",51.5326827,-0.1719916
"Wellington Row, Bethnal Green",51.528222,-0.069743
"Wellington Street , Strand",51.5113383,-0.1192869
"Wells Street, Fitzrovia",51.5173602,-0.1379995
"Wendon Street, Old Ford",51.5363028,-0.0263622
"Wenlock Road , Hoxton",51.5314812,-0.0941127
"West Cromwell Road, Earl's Court",51.4925124,-0.2008465
"West Kensington Station, West Kensington",51.4901279,-0.2067174
"West Smithfield Rotunda, Farringdon",51.518305,-0.1029791
"Westbourne Green, Westbourne",51.51769299999999,-0.194941
"Westbourne Grove, Bayswater",51.515235,-0.1933843
"Westbourne Park Road, Portobello",51.5167863,-0.2056644
"Westbridge Road, Battersea",51.4764487,-0.1713444
"Westferry Circus, Canary Wharf",51.5060075,-0.0265703
"Westferry DLR, Limehouse",51.5090546,-0.0267044
"Westfield Ariel Way, White City",51.50757249999999,-0.2212054
"Westfield Library Corner, Shepherd's Bush",51.5051913,-0.22469
"Westfield Southern Terrace ,Shepherd's Bush",51.5072023,-0.2232423
"Westminster Bridge Road, Elephant & Castle",51.499738,-0.1141895
"Westminster Pier, Westminster",51.50163329999999,-0.12389
"Westminster University, Marylebone",51.522048,-0.1549789
"Whiston Road, Haggerston",51.5350046,-0.0700755
"Whitehall Place, Strand",51.505955,-0.125741
"William IV Street, Strand",51.5094975,-0.1253793
"William Morris Way, Sands End",51.469089,-0.1841704
"Windsor Terrace, Hoxton",51.529442,-0.0935242
"Wood Street, Guildhall",51.5159245,-0.0913715
"Woodstock Grove, Shepherd's Bush",51.5038434,-0.2171935
"Woodstock Street, Mayfair",51.5141747,-0.1474237
"World's End Place, West Chelsea",51.4817289,-0.1770135
"Wormwood Street, Liverpool Street",51.516154,-0.082422
"Worship Street, Shoreditch",51.522083,-0.0840809
"Wren Street, Holborn",51.5252393,-0.1156591
"Wright's Lane, Kensington",51.4997908,-0.1927563
"Wynne Road, Stockwell",51.4691726,-0.1130975
"York Hall, Bethnal Green",51.52968509999999,-0.055257
"York Way, Kings Cross",51.5352305,-0.122368
