station,hour,pickup_count
"Albert Square, Stockwell",15,2.7738095238095237
"Albert Square, Stockwell",16,2.539325842696629
"Albert Square, Stockwell",17,1.9615384615384615
"Albert Square, Stockwell",18,1.974025974025974
"Albert Square, Stockwell",19,1.9
"Albert Square, Stockwell",20,1.7666666666666666
"Albert Square, Stockwell",21,1.45
"Albert Square, Stockwell",22,1.3611111111111112
"Albert Square, Stockwell",23,1.1923076923076923
"Albert Street, Camden Town",0,1.6
"Albert Street, Camden Town",1,1.2
"Albert Street, Camden Town",2,1.6666666666666667
"Albert Street, Camden Town",3,6.0
"Albert Street, Camden Town",4,1.0
"Albert Street, Camden Town",6,1.6666666666666667
"Albert Street, Camden Town",8,1.0
"Albert Street, Camden Town",9,1.5
"Albert Street, Camden Town",10,3.3333333333333335
"Albert Street, Camden Town",11,1.75
"Albert Street, Camden Town",12,1.3333333333333333
"Albert Street, Camden Town",13,1.625
"Albert Street, Camden Town",14,1.6666666666666667
"Albert Street, Camden Town",15,2.375
"Albert Street, Camden Town",16,1.6666666666666667
"Albert Street, Camden Town",17,1.75
"Albert Street, Camden Town",18,1.0
"Albert Street, Camden Town",19,1.5
"Albert Street, Camden Town",20,2.25
"Albert Street, Camden Town",21,1.3333333333333333
"Albert Street, Camden Town",22,2.0
"Albert Street, Camden Town",23,1.0
"Alderney Street, Pimlico",0,1.2857142857142858
"Alderney Street, Pimlico",1,1.0833333333333333
"Alderney Street, Pimlico",2,1.8
"Alderney Street, Pimlico",3,1.3333333333333333
"Alderney Street, Pimlico",4,1.0
"Alderney Street, Pimlico",5,1.0714285714285714
"Alderney Street, Pimlico",6,1.3181818181818181
"Alderney Street, Pimlico",7,1.6125
"Alderney Street, Pimlico",8,2.3333333333333335
"Alderney Street, Pimlico",9,2.65625
"Alderney Street, Pimlico",10,3.4646464646464645
"Alderney Street, Pimlico",11,3.54
"Alderney Street, Pimlico",12,3.2525252525252526
"Alderney Street, Pimlico",13,3.657142857142857
"Alderney Street, Pimlico",14,3.3333333333333335
"Alderney Street, Pimlico",15,2.67
"Alderney Street, Pimlico",16,3.088235294117647
"Alderney Street, Pimlico",17,2.5841584158415842
"Alderney Street, Pimlico",18,3.1515151515151514
"Alderney Street, Pimlico",19,2.4565217391304346
"Alderney Street, Pimlico",20,2.3970588235294117
"Alderney Street, Pimlico",21,1.9508196721311475
"Alderney Street, Pimlico",22,1.48
"Alderney Street, Pimlico",23,1.4193548387096775
"Aldersgate Street, Barbican",0,1.4285714285714286
"Aldersgate Street, Barbican",1,1.3714285714285714
"Aldersgate Street, Barbican",2,1.3125
"Aldersgate Street, Barbican",3,1.3333333333333333
"Aldersgate Street, Barbican",4,1.4375
"Aldersgate Street, Barbican",5,1.3529411764705883
"Aldersgate Street, Barbican",6,1.175
"Aldersgate Street, Barbican",7,1.6111111111111112
"Aldersgate Street, Barbican",8,1.5434782608695652
"Aldersgate Street, Barbican",9,1.8918918918918919
"Aldersgate Street, Barbican",10,2.627659574468085
"Aldersgate Street, Barbican",11,3.1333333333333333
