station,hour,dropoff_count
"Aldersgate Street, Barbican",22,1.9349112426035502
"Aldersgate Street, Barbican",23,1.5
"Alfreda Street, Battersea Park",0,1.3442622950819672
"Alfreda Street, Battersea Park",1,1.3333333333333333
"Alfreda Street, Battersea Park",2,1.8823529411764706
"Alfreda Street, Battersea Park",3,1.0
"Alfreda Street, Battersea Park",4,1.3333333333333333
"Alfreda Street, Battersea Park",5,1.3076923076923077
"Alfreda Street, Battersea Park",6,1.1379310344827587
"Alfreda Street, Battersea Park",7,1.3043478260869565
"Alfreda Street, Battersea Park",8,1.5258620689655173
"Alfreda Street, Battersea Park",9,1.4067796610169492
"Alfreda Street, Battersea Park",10,1.3380281690140845
"Alfreda Street, Battersea Park",11,1.4298245614035088
"Alfreda Street, Battersea Park",12,1.5338983050847457
"Alfreda Street, Battersea Park",13,1.5396825396825398
"Alfreda Street, Battersea Park",14,1.5
"Alfreda Street, Battersea Park",15,1.6407766990291262
"Alfreda Street, Battersea Park",16,2.2057416267942584
"Alfreda Street, Battersea Park",17,2.903669724770642
"Alfreda Street, Battersea Park",18,3.517699115044248
"Alfreda Street, Battersea Park",19,3.3051643192488265
"Alfreda Street, Battersea Park",20,2.5492227979274613
"Alfreda Street, Battersea Park",21,1.8269230769230769
"Alfreda Street, Battersea Park",22,1.911764705882353
"Alfreda Street, Battersea Park",23,1.7058823529411764
"All Saints Church, Portobello",0,1.3103448275862069
"All Saints Church, Portobello",1,1.1578947368421053
"All Saints Church, Portobello",2,1.1176470588235294
"All Saints Church, Portobello",3,1.0
"All Saints Church, Portobello",4,1.0
"All Saints Church, Portobello",5,1.0454545454545454
"All Saints Church, Portobello",6,1.1395348837209303
"All Saints Church, Portobello",7,1.6867469879518073
"All Saints Church, Portobello",8,2.4903846153846154
"All Saints Church, Portobello",9,2.217171717171717
"All Saints Church, Portobello",10,2.0424242424242425
"All Saints Church, Portobello",11,2.1801242236024843
"All Saints Church, Portobello",12,2.235955056179775
"All Saints Church, Portobello",13,2.4166666666666665
"All Saints Church, Portobello",14,2.248587570621469
"All Saints Church, Portobello",15,2.4494949494949494
"All Saints Church, Portobello",16,2.702020202020202
"All Saints Church, Portobello",17,3.9224137931034484
"All Saints Church, Portobello",18,5.324675324675325
"All Saints Church, Portobello",19,4.426008968609866
"All Saints Church, Portobello",20,2.717948717948718
"All Saints Church, Portobello",21,2.1125
"All Saints Church, Portobello",22,1.8717948717948718
"All Saints Church, Portobello",23,1.4793388429752066
"All Saints' Road, Portobello",0,1.1428571428571428
"All Saints' Road, Portobello",1,1.0
"All Saints' Road, Portobello",2,1.0
"All Saints' Road, Portobello",3,1.0
"All Saints' Road, Portobello",4,1.0
"All Saints' Road, Portobello",5,1.0
"All Saints' Road, Portobello",6,1.0
"All Saints' Road, Portobello",7,1.1027397260273972
"All Saints' Road, Portobello",8,1.7715736040609138
"All Saints' Road, Portobello",9,1.6122448979591837
"All Saints' Road, Portobello",10,1.5294117647058822
