station,hour,dropoff_count
"Albert Gardens, Stepney",17,2.4155844155844157
"Albert Gardens, Stepney",18,2.535211267605634
"Albert Gardens, Stepney",19,2.1333333333333333
"Albert Gardens, Stepney",20,1.8412698412698412
"Albert Gardens, Stepney",21,1.6984126984126984
"Albert Gardens, Stepney",22,1.6785714285714286
"Albert Gardens, Stepney",23,1.7826086956521738
"Albert Gate, Hyde Park",0,1.5
"Albert Gate, Hyde Park",2,1.5
"Albert Gate, Hyde Park",4,1.0
"Albert Gate, Hyde Park",5,1.1136363636363635
"Albert Gate, Hyde Park",6,1.28
"Albert Gate, Hyde Park",7,1.7166666666666666
"Albert Gate, Hyde Park",8,2.3278688524590163
"Albert Gate, Hyde Park",9,3.641025641025641
"Albert Gate, Hyde Park",10,5.244186046511628
"Albert Gate, Hyde Park",11,9.220930232558139
"Albert Gate, Hyde Park",12,12.213483146067416
"Albert Gate, Hyde Park",13,12.377777777777778
"Albert Gate, Hyde Park",14,13.8
"Albert Gate, Hyde Park",15,14.707865168539326
"Albert Gate, Hyde Park",16,14.659340659340659
"Albert Gate, Hyde Park",17,12.141176470588235
"Albert Gate, Hyde Park",18,11.594594594594595
"Albert Gate, Hyde Park",19,10.19047619047619
"Albert Gate, Hyde Park",20,7.830508474576271
"Albert Gate, Hyde Park",21,5.095238095238095
"Albert Gate, Hyde Park",22,2.3636363636363638
"Albert Gate, Hyde Park",23,2.25
"Albert Square, Stockwell",0,1.4615384615384615
"Albert Square, Stockwell",1,1.3902439024390243
"Albert Square, Stockwell",2,1.35
"Albert Square, Stockwell",3,1.125
"Albert Square, Stockwell",4,1.1666666666666667
"Albert Square, Stockwell",5,1.2222222222222223
"Albert Square, Stockwell",6,1.1
"Albert Square, Stockwell",7,1.0
"Albert Square, Stockwell",8,1.103448275862069
"Albert Square, Stockwell",9,1.346938775510204
"Albert Square, Stockwell",10,1.5263157894736843
"Albert Square, Stockwell",11,2.0833333333333335
"Albert Square, Stockwell",12,2.420289855072464
"Albert Square, Stockwell",13,2.6875
"Albert Square, Stockwell",14,2.2531645569620253
"Albert Square, Stockwell",15,2.282051282051282
"Albert Square, Stockwell",16,2.6944444444444446
"Albert Square, Stockwell",17,2.453333333333333
"Albert Square, Stockwell",18,2.4054054054054053
"Albert Square, Stockwell",19,2.0434782608695654
"Albert Square, Stockwell",20,2.0
"Albert Square, Stockwell",21,1.5853658536585367
"Albert Square, Stockwell",22,2.173076923076923
"Albert Square, Stockwell",23,1.6774193548387097
"Albert Street, Camden Town",0,1.5
"Albert Street, Camden Town",1,1.0
"Albert Street, Camden Town",2,1.0
"Albert Street, Camden Town",3,1.0
"Albert Street, Camden Town",5,2.0
"Albert Street, Camden Town",8,1.0
"Albert Street, Camden Town",9,1.0
"Albert Street, Camden Town",10,2.0
"Albert Street, Camden Town",11,2.0
"Albert Street, Camden Town",12,1.4444444444444444
"Albert Street, Camden Town",13,1.6666666666666667
"Albert Street, Camden Town",14,2.0
"Albert Street, Camden Town",15,2.3333333333333335
"Albert Street, Camden Town",16,1.3333333333333333
"Albert Street, Camden Town",17,1.5555555555555556
