name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"London, England, United Kingdom",2024-01-04T00:00:00,8.6,5.9,6.8,88.47,0.005,100,rain,0,0,18.3,11.1,254,998.7,93.1,11,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T01:00:00,8.6,6,6.5,86.67,0,0,,0,0,16.1,10.6,247,999.3,77.7,12,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T02:00:00,8.6,5.7,6.6,87.26,0,0,,0,0,24.2,12.2,253,1000.2,100,13,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T03:00:00,8.8,6,6.3,84.35,0,0,,0,0,19.7,11.8,250,1000.7,93.8,12,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T04:00:00,8.6,5.7,5.8,82.59,0,0,,0,0,20.8,12.1,243,1001.3,30,10.1,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T05:00:00,7.6,4.2,5.3,85.38,0,0,,0,0,19.7,13.8,251,1001.8,0,9.1,0,0,0,,Clear,clear-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T06:00:00,7,3.9,4.8,85.91,0,0,,0,0,18.3,11.1,254,1002.3,0,8.5,0,0,0,,Clear,clear-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T07:00:00,6.5,4,4.3,85.86,0,0,,0,0,13.9,7.9,223,1002.7,0,8.3,0,0,0,,Clear,clear-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T08:00:00,6.1,3.4,4,86.44,0,0,,0,0,12.8,8.3,228,1003.3,0,8.1,0,0,0,,Clear,clear-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T09:00:00,6.1,3.8,4.1,87.02,0,0,,0,0,15,7.1,230,1003.2,0,8.7,49,0.2,0,,Clear,clear-day,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T10:00:00,7.1,4.9,4.4,82.4,0,0,,0,0,11.4,7.2,238,1003.2,0,8.7,100,0.4,1,,Clear,clear-day,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T11:00:00,8.3,6.9,4.6,77.55,0,0,,0,0,11.4,5.4,210,1003.2,0,8.3,120,0.4,1,,Clear,clear-day,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T12:00:00,8.6,7.4,4.7,76.01,0,0,,0,0,8.1,5,186,1002.3,0,8.3,84,0.3,1,,Clear,clear-day,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T13:00:00,8.6,7.7,4.7,76.01,0,0,,0,0,6.9,4.3,155,1001.3,0,8.1,37,0.1,0,,Clear,clear-day,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-04T14:00:00,8.6,7.4,4.9,77.07,0,0,,0,0,8.1,5,117,1000.2,60.3,8.1,49,0.2,0,,Partially cloudy,partly-cloudy-day,"D5621,03781099999,03672099999,03772099999,03770099999"
